編號,機構名稱,機構地址,行政區,行政區碼,106年,107年,108年,109年,110年,111年,center_longitude,center_latitudes,locality_ids,locality_texts
1,臺北市私立小哈利托嬰中心,台北市中正區臺北市中正區南昌路一段145號,中正區,63000050,甲,,,甲,,,121.518821,25.029007,locality.63597287,中正區
2,臺北市私立宥緣托嬰中心,台北市中正區杭州南路一段131巷5號,中正區,63000050,,乙,乙,,,乙,121.525768,25.0363669,locality.63597287,中正區
3,臺北市私立宥宜托嬰中心,台北市中正區杭州南路一段131巷3號,中正區,63000050,,乙,甲,,,乙,121.525768,25.0363669,locality.63597287,中正區
4,立法院附設臺北市私立員工子女托嬰中心,台北市中正區鎮江街4號,中正區,63000050,,通過,優,,,優,121.521361,25.044314,locality.63597287,中正區
5,臺北市私立小天心東門托嬰中心,台北市大安區新生南路一段170巷14號,中正區,63000050,,,優,,,優,121.532496,25.034212,locality.63597287,中正區
6,臺北市私立維棠托嬰中心,台北市中正區臨沂街24巷6號,中正區,63000050,,,,甲,,,121.529177,25.040284,locality.63597287,中正區
7,臺北市私立家森寶貝托嬰中心,台北市中正區南昌路二段27號,中正區,63000050,,,,,,甲,121.519564,25.028107,locality.63597287,中正區
8,臺北市私立小天心晴晴托嬰中心,台北市中正區師大路176號,中正區,63000050,,,,,甲,,121.526562,25.020807,locality.63597287,中正區
9,臺北市私立萌芽托嬰中心,台北市中正區廈門街10號,中正區,63000050,,,,,,乙,121.518042,25.026847,locality.63597287,中正區
10,臺北市私立詠荺托嬰中心,台北市大同區重慶北路三段120巷2號,大同區,63000060,通過,,,乙,,,121.5122965,25.0672484,locality.63646439,大同區
11,臺北市私立海王子托嬰中心,台北市大同區延平北路二段278號,大同區,63000060,,,,,,甲,121.511344,25.060796,locality.63646439,大同區
12,臺北市私立喜樂大同托嬰中心,台北市大同區重慶北路三段252巷2號,大同區,63000060,,,,,,乙,121.513712,25.07066,locality.63646439,大同區
13,臺北市私立漢妮托嬰中心,台北市中山區明水路397巷7弄9號,中山區,63000040,,甲,,,甲,,121.5462219,25.0779928,locality.63589095,中山區
14,臺北市私立卡兒堡托嬰中心,台北市中山區基湖路149號,中山區,63000040,輔導通過,,乙,,,乙,121.5651469,25.0805052,locality.63613671,內湖區
15,臺北市私立日光貝比托嬰中心,台灣中山區中山北路二段116巷9號,中山區,63000040,甲,,,乙,,,121.5219252,25.060998,locality.63589095,中山區
16,臺北市私立笙愛托嬰中心,台灣中山區松江路46巷9號,中山區,63000040,,,乙,,,乙,121.5322314,25.0479618,locality.63589095,中山區
17,臺北市私立韋斯登托嬰中心,台北市中山區合江街105巷16號,中山區,63000040,,,丙(輔導通過),,乙,,121.53997584999999,25.0598517,locality.63589095,中山區
18,臺北市私立松江蒙特梭利托嬰中心,台北市中山區松江路124巷27號,中山區,63000040,通過,,,甲,,,121.530813,25.052586,locality.63589095,中山區
19,臺北市私立萌家園托嬰中心,台北市中山區樂群三路56號,中山區,63000040,,,甲,,,優,121.553696,25.082682,locality.63589095,中山區
20,臺北市私立布萊茲托嬰中心,台北市中山區合江街100巷11號,中山區,63000040,,,乙,,,乙,121.5385041,25.05828965,locality.63589095,中山區
21,臺北市私立龍江媽咪托嬰中心,台北市中山區龍江路397巷12號,中山區,63000040,,,乙,,,乙,121.5425249,25.0655458,locality.63589095,中山區
22,臺北市私立愛寶貝大直園托嬰中心,台北市中山區明水路443號,中山區,63000040,,,甲,,,甲,121.5509131,25.0828406,locality.63589095,中山區
23,臺北市私立宜家托嬰中心,臺北市中山區龍江路271巷3號,中山區,63000040,,,,乙,,,121.5414794,25.0594645,locality.63589095,中山區
24,臺北市私立蘊品蒙特梭利托嬰中心,台北市中山區明水路397巷7弄53號,中山區,63000040,,,,乙,,,121.5462219,25.0779928,locality.63589095,中山區
25,臺北市私立大愛托嬰中心,台北市中山區民生東路三段9巷5號,中山區,63000040,,,,,乙,,121.5418823,25.0584607,locality.63589095,中山區
26,臺北市私立寶貝托嬰中心,臺北市中山區民族東路512巷23號,中山區,63000040,,,,,甲,,121.5420192,25.0668649,locality.63589095,中山區
27,臺北市私立露西亞托嬰中心,台北市中山區林森北路67巷48號,中山區,63000040,,,,,,乙,121.5262322,25.0482707,locality.63589095,中山區
28,臺北市私立精英寶貝托嬰中心,台北市中山區明水路672巷36號3號,中山區,63000040,,,,,,乙,121.55101,25.083855,locality.63589095,中山區
29,臺北市私立愛寶貝明水園托嬰中心,台北市中山區明水路457號,中山區,63000040,,,,,,甲,121.5509131,25.0828406,locality.63589095,中山區
30,臺北市私立勁寶兒民權托嬰中心,臺北市松山區民權東路3段106巷21弄5號,松山區,63000010,乙,,,甲,,,121.5659,25.063287,locality.63671015,松山區
31,臺北市私立豐村托嬰中心,台北市松山區光復南路13巷43號,松山區,63000010,,乙,,,乙,,121.5592142,25.0477796,locality.63671015,松山區
32,臺北市私立多多托嬰中心,臺北市松山區八德路三段12巷51弄19號,松山區,63000010,甲,,,甲,,,121.551791,25.046164,locality.63671015,松山區
33,臺北市私立凱思托嬰中心,台北市松山區光復北路100巷8號,松山區,63000010,甲,,,乙,,,121.55709145,25.0505331,locality.63671015,松山區
34,臺北市私立哈寶寶托嬰中心,臺北市松山區民生東路5段36巷4弄41號,松山區,63000010,,輔導通過,,,甲,,121.555738,25.058267,locality.63671015,松山區
35,臺北市私立耕心寶貝家族托嬰中心,台北市松山區南京東路四段53巷10弄12號,松山區,63000010,通過,,,甲,,,121.5521095,25.0533084,locality.63671015,松山區
36,臺北市私立采禾托嬰中心,台北市松山區八德路三段81號2號,松山區,63000010,,,甲,,,甲,121.553366,25.048145,locality.63671015,松山區
37,臺北市私立親子坊托嬰中心,臺北市松山區健康路325巷18弄2號,松山區,63000010,,,甲,,,甲,121.568387,25.056072,locality.63671015,松山區
38,臺北市私立健寶兒托嬰中心,台北市松山區敦化北路222巷15號,松山區,63000010,,,乙,,,乙,121.5479169,25.0594335,locality.63671015,松山區
39,臺北市私立童欣寶貝熊托嬰中心,台北市松山區民生東路五段69巷2弄32號,松山區,63000010,輔導通過,,,丙(輔導通過),,,121.5591937,25.0592565,locality.63671015,松山區
40,臺北市私立勁寶兒延吉托嬰中心,台北市大安區光復南路32巷40號,松山區,63000010,,甲,,,甲,,121.55637825,25.0437426,locality.63654631,大安區
41,臺北市私立哈寶貝托嬰中心,台北市松山區民生東路五段36巷4弄41號,松山區,63000010,,,乙,,,甲,121.559061,25.057841,locality.63671015,松山區
42,臺北市私立悅福托嬰中心,台北市松山區南京東路四段95號,松山區,63000010,通過,,,乙,,,121.552856,25.051732,locality.63671015,松山區
43,臺北市私立悅和托嬰中心,台北市松山區南京東路四段95號,松山區,63000010,,通過,,,乙,,121.552856,25.051732,locality.63671015,松山區
44,臺北市私立天使寶貝蒙特梭利托嬰中心,台北市松山區敦化北路145巷71號,松山區,63000010,,輔導通過,,,甲,,121.5497566,25.0537006,locality.63671015,松山區
45,臺北市私立咩咩羊托嬰中心,臺北市松山區八德路四段36巷46號,松山區,63000010,,,,,乙,,121.5592922,25.0471131,locality.63671015,松山區
46,臺北市私立小麥穗托嬰中心,台北市松山區光復北路165巷11號,松山區,63000010,,,,,乙,,121.55626825,25.0573103,locality.63671015,松山區
47,臺北市私立天愛托嬰中心,台北市松山區三民路9號,松山區,63000010,,,甲,,,甲,121.563868,25.053427,locality.63671015,松山區
48,臺北市私立愛可兒托嬰中心,台北市松山區健康路309號,松山區,63000010,,,,,,乙,121.56585,25.054505,locality.63671015,松山區
49,臺北市私立新田小屋托嬰中心,台北市松山區八德路三段8巷37號,松山區,63000010,,,,,,優,121.5496963,25.0466153,locality.63671015,松山區
50,臺北市私立健寶兒敦北托嬰中心,台北市松山區敦化北路222巷15號,松山區,63000010,,,,,,甲,121.5479169,25.0594335,locality.63671015,松山區
51,臺北市私立人愛托嬰中心,台北市大安區信義路三段147巷15弄27號,大安區,63000030,甲,,,甲,,,121.5430054,25.0350938,locality.63654631,大安區
52,臺北市私立寶兒女成長園地托嬰中心,台北市大安區復興南路二段180巷4號,大安區,63000030,,乙,,,丙(輔導通過),,121.543104,25.027395,locality.63654631,大安區
53,臺北市私立菲力兒托嬰中心,台北市大安區信義路四段265巷20弄20號,大安區,63000030,,,優,,,優,121.55431540000001,25.0347443,locality.63654631,大安區
54,臺北市私立全家托嬰中心,台北市大安區溫州街12巷3號,大安區,63000030,,,甲,,,甲,121.5328333,25.0257203,locality.63654631,大安區
55,臺北市私立陽光小屋托嬰中心,台北市大安區瑞安街31巷5號,大安區,63000030,,乙,,,丙(輔導通過),,121.544105,25.030566,locality.63654631,大安區
56,臺北市私立小磊心托嬰中心,台北市大安區四維路76巷15號,大安區,63000030,優,,,甲,,,121.5471968,25.0342612,locality.63654631,大安區
57,臺北市私立吉事達康博喜托嬰中心,台灣大安區敦化南路二段200巷22號,大安區,63000030,,通過,,,甲,,121.547595,25.02288,locality.63654631,大安區
58,臺北市私立華康托嬰中心,台灣大安區金華街223號,大安區,63000030,乙,,,乙,,,121.529287,25.029846,locality.63654631,大安區
59,臺北市私立凱瑞莎托嬰中心,台北市大安區青田街6號,大安區,63000030,,,甲,,,乙,121.53124745,25.02816545,locality.63654631,大安區
