機構代碼,機構名稱,產後護理床開放床數,嬰兒床開放床數,機構地址,連絡電話,每日費用,center_longitude,center_latitudes,locality_ids,locality_texts
7401170588,御兒產後護理之家,24,29,臺北市信義區信義路五段109、111號2樓,(02)27223380,6900,121.5668394,25.0332372,locality.63605479,信義區
7401170622,彌月房信義產後護理之家,10,12,臺北市信義區忠孝東路四段563號13樓之1,(02)27533777,7000,121.5628577,25.0433555,locality.63605479,信義區
7401170579,彌月房慶生產後護理之家,10,12,臺北市信義區忠孝東路四段563號13樓,(02)27533770,7000,121.563461,25.040154,locality.63605479,信義區
7401170515,滿園產後護理之家,11,15,臺北市信義區光復南路415號2樓,(02)23458767,4800,121.5592161,25.0371542,locality.63605479,信義區
7401011593,人之初敦化館產後護理之家,25,30,臺北市松山區敦化北路230號1-3樓,(02)27131680,9700,121.549632,25.059756,locality.63671015,松山區
7401011477,國泰台北會館產後護理之家,33,39,臺北市松山區健康路152、156號7至8樓,(02)27392029,8800,121.557648908426,25.0543551,locality.63671015,松山區
7401011388,晶英產後護理之家,20,22,臺北市松山區健康路152、156號6樓,(02)27458880,8000,121.557648908426,25.0543551,locality.63671015,松山區
7401011486,御兒軒產後護理之家,16,18,臺北市松山區南京東路五段108號11樓,(02)27479797,6000,121.562246,25.051235,locality.63671015,松山區
7401011566,時尚產後護理之家,17,22,臺北市松山區民權東路三段140巷15號3樓,(02)87706298,5680,121.546968,25.060511,locality.63671015,松山區
7401011244,健寶兒產後護理之家,23,27,臺北市松山區八德路四段111號4至6樓,(02)25280828,6000,121.561228,25.048565,locality.63671015,松山區
7401011502,彌月房三二產後護理之家,10,12,臺北市松山區八德路三段32號10樓,(02)25770497,7800,121.550843,25.048151,locality.63671015,松山區
7401011495,彌月房產後護理之家,9,11,臺北市松山區八德路三段30號10樓,(02)25770477,8800,121.551523,25.048044,locality.63671015,松山區
7201010010,基督復臨安息日會醫療財團法人附設臺安產後護理之家,10,10,臺北市松山區八德路二段400號11樓,(02)27216259,4000,121.546771,25.048212,locality.63671015,松山區
7401161883,好寶貝北投一館產後護理之家,9,12,臺北市北投區北投路二段11號6樓、6樓之1、2、3、5、6號,(02)28983267,5000,121.498976,25.130971,locality.63621863,北投區
7401111301,媽媽餵內湖產後護理之家,30,32,臺北市內湖區瑞光路337號5-6樓,(02)26582272,9000,121.575514,25.077756,locality.63613671,內湖區
7401111285,國泰內湖產後護理之家,43,48,臺北市內湖區瑞光路337號11-13樓,(02)26585999,8500,121.575514,25.077756,locality.63613671,內湖區
7401111132,璽恩產後護理之家,30,34,臺北市內湖區行善路351、353、355號5-6樓,(02)27938168,8000,121.581577785312,25.05844815,locality.63613671,內湖區
7401111249,嘉禾產後護理之家,39,48,臺北市內湖區行善路351、353、355號2至4樓,(02)87911589,8600,121.581577785312,25.05844815,locality.63613671,內湖區
7401111230,大葉產後護理之家,26,29,臺北市內湖區行善路351、353、355號11、12樓,(02)27951005,8500,121.581577785312,25.05844815,locality.63613671,內湖區
7401111196,愛兒麗產後護理之家,40,46,臺北市內湖區民權東路六段180巷6號7樓,(02)87914567,5988,121.592548,25.068255,locality.63613671,內湖區
7401111052,永安福華產後護理之家,40,46,臺北市內湖區民權東路六段180巷6號3樓,(02)87927733,6000,121.592548,25.068255,locality.63613671,內湖區
7401181296,元氣御守產後護理之家,30,32,臺北市中正區福州街9號1-13樓及地下1、2、3樓,(02)23581555,9000,121.518267,25.032361,region.58599,Taipei
