id,類型,鄉鎮,name,幼兒園電話,addr,核定總招收人數,收費金額,center_longitude,center_latitudes,locality_ids,dist
1,私立,文山區,臺北市私立滬江高級中學附設幼兒園,(02)86631122,臺北市文山區羅斯福路六段336號,212,126000.0,121.538493,24.989279,locality.63662823,文山區
2,私立,南港區,中央研究院附設臺北市私立幼兒園,(02)27871451,臺北市南港區研究院路2段12巷75號1樓,120,45810.0,121.614477,25.0484532,locality.63630055,南港區
3,私立,南港區,世平興業股份有限公司附設臺北市私立員工子女幼兒園,(02)26530137,臺北市南港區成功路一段70、72、74號1樓,140,115800.0,121.5933486,25.0546523,locality.63630055,南港區
4,準公共,萬華區,北部台灣基督長老教會艋舺教會附設臺北市私立愛心幼兒園,(02)23314921#11,臺北市萬華區貴陽街二段94號1樓,90,78300.0,121.503155,25.039904,locality.63679207,萬華區
5,準公共,中山區,有限責任臺北市立五常國民中學員生消費合作社附設臺北市私立員工子女幼兒園,(02)25048846,臺北市中山區復興北路430巷1號1樓,40,71280.0,121.543148,25.063802,locality.63589095,中山區
6,準公共,大安區,有限責任臺北市立金華國民中學員生消費合作社附設臺北市私立員工子女幼兒園,(02)33931799#591,臺北市大安區新生南路二段32號1樓,40,71280.0,121.532312,25.030859,locality.63654631,大安區
7,私立,文山區,私立再興高級中學附設臺北市幼兒園,(02)29366803#302,臺北市文山區木柵路二段6號,540,53752.0,121.560158,24.988729,locality.63662823,文山區
8,私立,中正區,法務部附設臺北市私立員工子女幼兒園,(02)23713445,臺北市中正區重慶南路1段136巷2號1樓,70,79620.0,121.513412,25.046765,locality.63597287,中正區
9,私立,大安區,社團法人台北市兒童托育協會附設臺北市私立安東幼兒園,(02)27067642,臺北市大安區瑞安街75號2樓,182,,121.541102,25.028211,locality.63654631,大安區
10,非營利,文山區,社團法人台北市兒童托育協會附設臺北市私立實踐非營利幼兒園（臺北市政府委託辦理）,(02)29390246,臺北市文山區忠順街一段4號1樓,90,0.0,121.557374,24.983094,locality.63662823,文山區
11,非營利,內湖區,社團法人臺北市幼托協會附設臺北市私立星雲非營利幼兒園（臺北市政府委託辦理）,(02)87918776,臺北市內湖區星雲街161巷3號2樓,85,0.0,121.5962073,25.0813843,locality.63613671,內湖區
12,私立,內湖區,恕德學校財團法人附設臺北市私立恕德幼兒園,(02)27997608,臺北市內湖區內湖路一段353號,120,118580.0,121.569031,25.082169,locality.63613671,內湖區
13,非營利,大安區,耕莘健康管理專科學校附設臺北市私立黃鸝鳥非營利幼兒園（臺北市政府委託辦理）,(02)23621071,臺北市大安區羅斯福路四段21號,76,0.0,121.535968,25.014207,locality.63654631,大安區
14,非營利,中正區,耕莘健康管理專科學校附設臺北市私立螢橋非營利幼兒園(臺北市政府委託辦理),(02)23621061,臺北市中正區汀洲路三段4號,106,0.0,121.531253,25.014341,locality.63597287,中正區
15,私立,大安區,財團法人中國文化大學附設臺北市私立文化幼兒園,(02)27085583,臺北市大安區瑞安街256巷18號及20號1樓,41,103000.0,121.538743,25.027394,locality.63654631,大安區
16,私立,信義區,財團法人中華文化社會福利事業基金會台北兒童福利中心附設臺北市私立實驗幼兒園,(02)27679264#501,臺北市信義區虎林街120巷270號1樓,930,87240.0,121.57369,25.042199,locality.63605479,信義區
17,私立,大安區,財團法人中華民國郵政職工福利委員會附設臺北市私立員工子女幼兒園,(02)23931261#3516,臺北市大安區愛國東路210巷9號2樓,111,54000.0,121.5239505,25.0313459,locality.63654631,大安區
18,準公共,中正區,財團法人中華基督教衛理公會附設臺北市私立城中衛理幼兒園,(02)23952273,臺北市中正區寧波東街9巷6號1樓,90,71946.0,121.5190252,25.0328537,locality.63597287,中正區
19,私立,萬華區,財團法人天主教光仁文教基金會附設臺北市私立育仁幼兒園,(02)23040131,臺北市萬華區興寧街70號,150,73806.0,121.5016372,25.032283,locality.63679207,萬華區
20,私立,大安區,財團法人天主教會台北教區附設臺北市私立信光幼兒園,(02)27386770,臺北市大安區通化街178號1樓,210,64960.0,121.554126,25.029808,locality.63654631,大安區
21,私立,大同區,財團法人天主教會台北教區附設臺北市私立聖心幼兒園,(02)25578119,臺北市大同區民生西路245號1樓至3樓,330,52500.0,121.514915,25.057421,locality.63646439,大同區
22,私立,北投區,財團法人天主教會台北教區附設臺北市私立達義幼兒園,(02)28270668,臺北市北投區致遠一路2段40巷11號1樓,180,72810.0,121.513791,25.111921,locality.63621863,北投區
23,私立,大安區,財團法人天主教會台北教區附設臺北市私立曉星幼兒園,(02)27033211,臺北市大安區延吉街254號1樓,90,69090.0,121.556316,25.03469,locality.63654631,大安區
24,私立,文山區,財團法人天主教會臺北教區附設臺北市私立若石幼兒園,(02)29328022,臺北市文山區羅斯福路五段51號1樓,240,69336.0,121.53917,25.00708,locality.63662823,文山區
25,私立,大同區,財團法人王氏太原堂附設臺北市私立太原幼兒園,(02)25942628,臺北市大同區迪化街二段243巷2號1樓,210,59700.0,121.511628,25.070355,locality.63646439,大同區
26,私立,文山區,財團法人台北市中國基督教靈糧世界佈道會台北靈糧堂附設臺北市私立靈糧幼兒園,(02)86636650,臺北市文山區萬美街2段80號1樓,90,,121.568729,25.000502,locality.63662823,文山區
27,私立,文山區,財團法人台北市中華基督教青年會附設臺北市私立文山幼兒園,(02)22362817,臺北市文山區和興路2號1樓至2樓,228,69460.0,121.548894990269,24.9853033,locality.63662823,文山區
28,私立,信義區,財團法人台北市中華基督教青年會附設臺北市私立永吉幼兒園,(02)2763-1261,臺北市信義區永吉路500號,90,87200.0,121.579201,25.047405,place.3057895,臺北市
29,私立,文山區,財團法人台北市中華基督教景美浸信會附設臺北市私立聖愛幼兒園,(02)29332244,臺北市文山區育英街63號,60,49150.0,121.538788,24.991987,locality.63662823,文山區
