編號,機構名稱,機構地址,行政區,行政區碼,106年,107年,108年,109年,110年,111年
1,臺北市私立小哈利托嬰中心,台北市中正區臺北市中正區南昌路一段145號,中正區,63000050,甲,,,甲,,
2,臺北市私立宥緣托嬰中心,台北市中正區杭州南路一段131巷5號,中正區,63000050,,乙,乙,,,乙
3,臺北市私立宥宜托嬰中心,台北市中正區杭州南路一段131巷3號,中正區,63000050,,乙,甲,,,乙
4,立法院附設臺北市私立員工子女托嬰中心,台北市中正區鎮江街4號,中正區,63000050,,通過,優,,,優
5,臺北市私立小天心東門托嬰中心,台北市大安區新生南路一段170巷14號,中正區,63000050,,,優,,,優
6,臺北市私立維棠托嬰中心,台北市中正區臨沂街24巷6號,中正區,63000050,,,,甲,,
7,臺北市私立家森寶貝托嬰中心,台北市中正區南昌路二段27號,中正區,63000050,,,,,,甲
8,臺北市私立小天心晴晴托嬰中心,台北市中正區師大路176號,中正區,63000050,,,,,甲,
9,臺北市私立萌芽托嬰中心,台北市中正區廈門街10號,中正區,63000050,,,,,,乙
10,臺北市私立詠荺托嬰中心,台北市大同區重慶北路三段120巷2號,大同區,63000060,通過,,,乙,,
11,臺北市私立海王子托嬰中心,台北市大同區延平北路二段278號,大同區,63000060,,,,,,甲
12,臺北市私立喜樂大同托嬰中心,台北市大同區重慶北路三段252巷2號,大同區,63000060,,,,,,乙
13,臺北市私立漢妮托嬰中心,台北市中山區明水路397巷7弄9號,中山區,63000040,,甲,,,甲,
14,臺北市私立卡兒堡托嬰中心,台北市中山區基湖路149號,中山區,63000040,輔導通過,,乙,,,乙
15,臺北市私立日光貝比托嬰中心,台灣中山區中山北路二段116巷9號,中山區,63000040,甲,,,乙,,
16,臺北市私立笙愛托嬰中心,台灣中山區松江路46巷9號,中山區,63000040,,,乙,,,乙
17,臺北市私立韋斯登托嬰中心,台北市中山區合江街105巷16號,中山區,63000040,,,丙(輔導通過),,乙,
18,臺北市私立松江蒙特梭利托嬰中心,台北市中山區松江路124巷27號,中山區,63000040,通過,,,甲,,
19,臺北市私立萌家園托嬰中心,台北市中山區樂群三路56號,中山區,63000040,,,甲,,,優
20,臺北市私立布萊茲托嬰中心,台北市中山區合江街100巷11號,中山區,63000040,,,乙,,,乙
21,臺北市私立龍江媽咪托嬰中心,台北市中山區龍江路397巷12號,中山區,63000040,,,乙,,,乙
22,臺北市私立愛寶貝大直園托嬰中心,台北市中山區明水路443號,中山區,63000040,,,甲,,,甲
23,臺北市私立宜家托嬰中心,臺北市中山區龍江路271巷3號,中山區,63000040,,,,乙,,
24,臺北市私立蘊品蒙特梭利托嬰中心,台北市中山區明水路397巷7弄53號,中山區,63000040,,,,乙,,
25,臺北市私立大愛托嬰中心,台北市中山區民生東路三段9巷5號,中山區,63000040,,,,,乙,
26,臺北市私立寶貝托嬰中心,臺北市中山區民族東路512巷23號,中山區,63000040,,,,,甲,
27,臺北市私立露西亞托嬰中心,台北市中山區林森北路67巷48號,中山區,63000040,,,,,,乙
28,臺北市私立精英寶貝托嬰中心,台北市中山區明水路672巷36號3號,中山區,63000040,,,,,,乙
29,臺北市私立愛寶貝明水園托嬰中心,台北市中山區明水路457號,中山區,63000040,,,,,,甲
30,臺北市私立勁寶兒民權托嬰中心,臺北市松山區民權東路3段106巷21弄5號,松山區,63000010,乙,,,甲,,
31,臺北市私立豐村托嬰中心,台北市松山區光復南路13巷43號,松山區,63000010,,乙,,,乙,
32,臺北市私立多多托嬰中心,臺北市松山區八德路三段12巷51弄19號,松山區,63000010,甲,,,甲,,
33,臺北市私立凱思托嬰中心,台北市松山區光復北路100巷8號,松山區,63000010,甲,,,乙,,
34,臺北市私立哈寶寶托嬰中心,臺北市松山區民生東路5段36巷4弄41號,松山區,63000010,,輔導通過,,,甲,
35,臺北市私立耕心寶貝家族托嬰中心,台北市松山區南京東路四段53巷10弄12號,松山區,63000010,通過,,,甲,,
36,臺北市私立采禾托嬰中心,台北市松山區八德路三段81號2號,松山區,63000010,,,甲,,,甲
37,臺北市私立親子坊托嬰中心,臺北市松山區健康路325巷18弄2號,松山區,63000010,,,甲,,,甲
38,臺北市私立健寶兒托嬰中心,台北市松山區敦化北路222巷15號,松山區,63000010,,,乙,,,乙
39,臺北市私立童欣寶貝熊托嬰中心,台北市松山區民生東路五段69巷2弄32號,松山區,63000010,輔導通過,,,丙(輔導通過),,
40,臺北市私立勁寶兒延吉托嬰中心,台北市大安區光復南路32巷40號,松山區,63000010,,甲,,,甲,
41,臺北市私立哈寶貝托嬰中心,台北市松山區民生東路五段36巷4弄41號,松山區,63000010,,,乙,,,甲
42,臺北市私立悅福托嬰中心,台北市松山區南京東路四段95號,松山區,63000010,通過,,,乙,,
43,臺北市私立悅和托嬰中心,台北市松山區南京東路四段95號,松山區,63000010,,通過,,,乙,
44,臺北市私立天使寶貝蒙特梭利托嬰中心,台北市松山區敦化北路145巷71號,松山區,63000010,,輔導通過,,,甲,
45,臺北市私立咩咩羊托嬰中心,臺北市松山區八德路四段36巷46號,松山區,63000010,,,,,乙,
46,臺北市私立小麥穗托嬰中心,台北市松山區光復北路165巷11號,松山區,63000010,,,,,乙,
47,臺北市私立天愛托嬰中心,台北市松山區三民路9號,松山區,63000010,,,甲,,,甲
48,臺北市私立愛可兒托嬰中心,台北市松山區健康路309號,松山區,63000010,,,,,,乙
49,臺北市私立新田小屋托嬰中心,台北市松山區八德路三段8巷37號,松山區,63000010,,,,,,優
50,臺北市私立健寶兒敦北托嬰中心,台北市松山區敦化北路222巷15號,松山區,63000010,,,,,,甲
51,臺北市私立人愛托嬰中心,台北市大安區信義路三段147巷15弄27號,大安區,63000030,甲,,,甲,,
52,臺北市私立寶兒女成長園地托嬰中心,台北市大安區復興南路二段180巷4號,大安區,63000030,,乙,,,丙(輔導通過),
53,臺北市私立菲力兒托嬰中心,台北市大安區信義路四段265巷20弄20號,大安區,63000030,,,優,,,優
54,臺北市私立全家托嬰中心,台北市大安區溫州街12巷3號,大安區,63000030,,,甲,,,甲
55,臺北市私立陽光小屋托嬰中心,台北市大安區瑞安街31巷5號,大安區,63000030,,乙,,,丙(輔導通過),
56,臺北市私立小磊心托嬰中心,台北市大安區四維路76巷15號,大安區,63000030,優,,,甲,,
57,臺北市私立吉事達康博喜托嬰中心,台灣大安區敦化南路二段200巷22號,大安區,63000030,,通過,,,甲,
58,臺北市私立華康托嬰中心,台灣大安區金華街223號,大安區,63000030,乙,,,乙,,
59,臺北市私立凱瑞莎托嬰中心,台北市大安區青田街6號,大安區,63000030,,,甲,,,乙
60,臺北市私立亞瑟王皇家托嬰中心,台北市大安區潮州街108號,大安區,63000030,,,乙,,,丙(輔導通過)
61,臺北市私立滿兒圓蒙特梭利托嬰中心,台灣大安區安和路一段135巷14號,大安區,63000030,,,乙,,,乙
62,臺北市私立璽愛托嬰中心,台北市大安區忠孝東路三段251巷4弄8號,大安區,63000030,通過,,,甲,,
63,臺北市私立勁寶兒大安托嬰中心,台北市大安區信義路三段147巷15弄27之1號,大安區,63000030,通過,,,乙,,
64,臺北市私立萌語托嬰中心,臺北市大安區安和路二段70號,大安區,63000030,,,優,,,優
65,臺北市私立芭蒂恩蒙氏家園托嬰中心,台北市大安區新生南路三段19巷3號,大安區,63000030,,,甲,,,甲
66,臺北市私立鑫田托嬰中心,台北市大安區大安路二段100號,大安區,63000030,,乙,,,乙,
67,臺北市私立小天心托嬰中心,台北市大安區新生南路三段86巷23號,大安區,63000030,通過,,,甲,,
68,臺北市私立以愛托嬰中心,台北市大安區和平東路一段183巷3弄2號,大安區,63000030,,,乙,,,甲
69,臺北市私立橘子樹寶貝托嬰中心,台北市大安區瑞安街155巷2號,大安區,63000030,,通過,,,乙,
70,臺北市私立新生蒙特梭利托嬰中心,台北市大安區新生南路一段103巷7號,大安區,63000030,,,乙,,,乙
71,臺北市私立凱瑞莎青田托嬰中心,台北市大安區青田街6號,大安區,63000030,,,乙,,,甲
72,臺北市私立采侑托嬰中心,台北市大安區羅斯福路三段333巷9號,大安區,63000030,,,乙,,,甲
73,臺北市私立翻轉學堂托嬰中心,台北市大安區四維路160巷14號,大安區,63000030,,,乙,,,甲
74,臺北市私立天心大安托嬰中心,台北市大安區新生南路三段86巷23號,大安區,63000030,,,優,,,甲
75,臺北市私立幸福日光托嬰中心,台北市大安區和平東路二段96巷10弄12號,大安區,63000030,,,,,乙,
76,臺北市私立夏莉絲托嬰中心,台北市大安區信義路二段44巷12號,大安區,63000030,,,,,乙,
77,臺北市私立萌語大安托嬰中心,台北市大安區安和路一段112巷22號,大安區,63000030,,,,甲,,
78,臺北市私立小樹屋托嬰中心,台北市大安區樂業街188號1樓,大安區,63000030,,,,,,乙
79,臺北市私立小育龍托嬰中心,台北市萬華區萬大路61號,萬華區,63000070,,,甲,,,甲
80,臺北市私立安馨托嬰中心,台北市萬華區中華路二段364巷13號,萬華區,63000070,通過,,,甲,,
81,臺北市小育龍莒光托嬰中心,台北市萬華區莒光路239號,萬華區,63000070,,,甲,,,甲
82,臺北市私立瑞吉歐托嬰中心,台北市萬華區中華路二段364巷17號,萬華區,63000070,,,,,,甲
83,臺北市私立安馨寶貝托嬰中心,台北市萬華區中華路二段364巷13號,萬華區,63000070,,,,,,甲
84,臺北市私立咕咕園信義托嬰中心,臺北市信義區松智路35號,信義區,63000020,,,乙,,,丙(輔導通過)
85,臺北市私立薇薇安娃娃國托嬰中心,台北市信義區忠孝東路五段236巷3弄29號,信義區,63000020,,,乙,,,乙
