編號,機構代碼,機構名稱,產後護理床開放床數,嬰兒床開放床數,機構地址,連絡電話
總計,,,"1,139","1,322",,
-1,7401151421,禧悅生產後護理之家,8,15,臺北市士林區中山北路五段500號、502號3樓,(02)28839288
0,7401151341,禾馨士林產後護理之家,54,54,臺北市士林區中正路289-1號1-10樓,(02)28827333
1,7401151369,康和士林產後護理之家,12,14,臺北市士林區中正路420號6樓,(02)28356628
2,7401151109,璽悅精緻產後護理之家,15,22,臺北市士林區中正路420號8樓,(02)28312121
3,7401151243,璽悅天母產後護理之家,24,30,臺北市士林區忠誠路二段188號3樓,(02)77297775
4,7401151181,藍田士林產後護理之家,15,17,"臺北市士林區福國路108號2F-1,2、3F-1,2,3、4F-1,2、5F-1,2、6F-1,2、7F-1,2,3",(02)28336833
5,7501091057,臺北市立聯合醫院附設中興產後護理之家,35,35,臺北市大同區鄭州路145號9樓,(02)25523234
6,7401021295,壹壹產後護理之家,26,30,臺北市大安區大安路二段39號及39-1號1-7樓及地下1樓,(02)27031112
7,7401021231,英倫市民大道館產後護理之家,26,30,臺北市大安區市民大道三段152號、156號1～7樓,(02)27788618
8,7401021366,馥御產後護理之家,15,15,臺北市大安區忠孝東路四段221號9樓,(02)87716877
9,7401021213,愛兒家產後護理之家,22,25,臺北市大安區忠孝東路四段87號6樓,(02)87738628
10,7401021259,英倫大安館產後護理之家,35,40,臺北市大安區基隆路二段228之1號、230號1-7樓、230號7樓之1,(02)23773996
11,7601020523,周大中婦產科診所附設產後護理之家,10,12,臺北市大安區敦化南路二段46號2樓,(02)27552757
12,7401021384,孕學林產後護理之家,22,24,臺北市大安區新生南路一段103巷32-3號1-7樓、B1,(02)27115969
13,7601101032,李義男婦產科診所附設產後護理之家,15,18,臺北市中山區中山北路二段71號5樓及5樓之1,(02)25611688
14,7401101538,人之初產後護理之家,19,22,臺北市中山區中山北路二段96號8樓,(02)25683777
15,7401101476,優兒寶產後護理之家,20,23,臺北市中山區松江路318號14樓,(02)77027600
16,7401101369,協和婦女醫院附設產後護理之家,35,37,臺北市中山區松江路85巷5號5、6、7樓、93巷6號3、5、6樓,(02)25072222
17,7401101592,木芯產後護理之家,5,8,臺北市中山區長安東路二段88、90號11樓,(02)25172710
18,7401101501,木芳產後護理之家,8,10,臺北市中山區長安東路二段88、90號7樓,(02)25170297
19,7601101078,木生婦產科診所附設產後護理之家,10,14,臺北市中山區長安東路二段90號6樓、8樓,(02)25012312
20,7401101458,木恩產後護理之家,8,10,臺北市中山區長安東路二段90號9樓,(02)25170210
21,7401101574,小青田大寶產後護理之家,12,16,臺北市中山區建國北路一段80號7樓,(02)77021155
22,7401101494,育安蓁禾產後護理之家,15,17,臺北市中山區新生北路三段11巷32號2-6樓,(02)25997111
23,7401101243,薇閣薇恩產後護理之家,24,26,臺北市中山區樂群三路56號3樓、3樓之1、3樓之2、4樓、4樓之1、4樓之2,(02)85025577
24,7401181385,環球敦品產後護理之家,64,70,臺北市中正區中華路2段77號1-11樓及地下1.2樓,(02)23715777
25,7401181349,汭恩產後護理之家,9,11,臺北市中正區中華路一段39號21樓,(02)23825588
26,7401181367,璽悅婦兒產後護理之家,3,6,臺北市中正區金山南路一段58號2樓,(02)23212211
27,7401181401,璽悅國際產後護理之家,10,14,臺北市中正區金山南路一段58號3、4樓,(02)23212211
28,7401181394,璽悅金山產後護理之家,10,14,臺北市中正區金山南路一段58號5、6樓,(02)23212211
29,7401181376,令和產後護理之家,14,16,臺北市中正區信義路2段79巷19號3-7樓,(02)23510988
30,7401181429,新月集產後護理之家,25,30,臺北市中正區泉州街149號1-8樓及地下1室樓及屋突3層,(02)23396789
31,7401181072,藍田產後護理之家,9,11,臺北市中正區新生南路一段170巷13號3-5樓,(02)33225000
32,7401181296,元氣御守產後護理之家,30,32,臺北市中正區福州街9號1-13樓及地下1、2、3樓,(02)23581555
33,7401111052,永安福華產後護理之家,40,46,臺北市內湖區民權東路六段180巷6號3樓、3樓之1,(02)87927733
34,7401111196,愛兒麗產後護理之家,40,46,臺北市內湖區民權東路六段180巷6號7樓,(02)87914567
35,7401111230,大葉產後護理之家,26,29,臺北市內湖區行善路351、353、355號11、12樓,(02)27951005
36,7401111249,嘉禾產後護理之家,39,48,臺北市內湖區行善路351、353、355號2至4樓及357、359號3至4樓,(02)87911589
37,7401111132,璽恩產後護理之家,30,34,臺北市內湖區行善路351、353、355號5-6樓,(02)27938168
38,7401111285,國泰內湖產後護理之家,43,48,臺北市內湖區瑞光路337號11-13樓,(02)26585999
39,7401111301,媽媽餵內湖產後護理之家,30,32,臺北市內湖區瑞光路337號5-6樓,(02)26582272
40,7401161883,好寶貝北投一館產後護理之家,9,12,臺北市北投區北投路二段11號6樓、6樓之1、2、3、5、6號,(02)28983267
41,7201010010,基督復臨安息日會醫療財團法人附設臺安產後護理之家,10,10,臺北市松山區八德路二段400號11樓,(02)27216259
42,7401011495,彌月房產後護理之家,9,11,臺北市松山區八德路三段30號10樓,(02)25770477
43,7401011502,彌月房三二產後護理之家,10,12,臺北市松山區八德路三段32號10樓,(02)25770497
44,7401011244,健寶兒產後護理之家,23,27,臺北市松山區八德路四段111號4至6樓,(02)25280828
45,7401011566,時尚產後護理之家,17,22,臺北市松山區民權東路三段140巷15號3樓,(02)87706298
46,7401011486,御兒軒產後護理之家,16,18,臺北市松山區南京東路五段108號11樓,(02)27479797
47,7401011388,晶英產後護理之家,20,22,臺北市松山區健康路152、156號6樓,(02)27458880
48,7401011477,國泰台北會館產後護理之家,33,39,臺北市松山區健康路152、156號7至8樓,(02)27392029
49,7401011593,人之初敦化館產後護理之家,25,30,臺北市松山區敦化北路230號1-3樓,(02)27131680
50,7401170515,滿園產後護理之家,11,15,臺北市信義區光復南路415號2樓,(02)23458767
51,7401170579,彌月房慶生產後護理之家,10,12,臺北市信義區忠孝東路四段563號13樓,(02)27533770
52,7401170622,彌月房信義產後護理之家,10,12,臺北市信義區忠孝東路四段563號13樓之1、13樓之2,(02)27533777
53,7401170588,御兒產後護理之家,24,29,臺北市信義區信義路五段109、111號2樓,(02)27223380
