編號,鄉鎮,幼兒園名稱,幼兒園電話,核定總招收人數
1,士林區,臺北市私立慈暉幼兒園,(02)27651882,30
2,士林區,臺北市私立飛達幼兒園,(02)27674365,90
3,士林區,臺北市私立忠義幼兒園,(02)27662965,150
4,士林區,臺北市私立泰安幼兒園,(02)37653868,90
5,士林區,臺北市私立育成幼兒園,(02)27564213,60
6,士林區,臺北市私立社中幼兒園,(02)27672567,40
7,士林區,臺北市私立弘明幼兒園,(02)27639957,99
8,士林區,臺北市私立求真幼兒園,(02)27612638,37
9,士林區,臺北市私立比特幼兒園,(02)27639957,20
10,士林區,臺北市私立育強幼兒園,(02)27648859,90
11,士林區,臺北市私立星莆幼兒園,(02)27648859,40
12,士林區,臺北市私立怡寶幼兒園,(02)27670043,28
13,士林區,臺北市私立怡寶資優幼兒園,(02)27568845,40
14,士林區,臺北市私立欣光幼兒園,(02)27171217,120
15,士林區,臺北市私立幼安幼兒園,(02)27150971,27
16,大安區,臺北市私立童馨幼兒園,(02)27131492,50
17,大安區,臺北市私立育樂幼兒園,(02)25451307,90
18,大安區,臺北市私立佳安幼兒園,(02)25451351,60
19,大安區,臺北市私立惠真幼兒園,(02)27131091,120
20,大安區,臺北市私立小天心幼兒園,(02)25459211,25
21,大安區,臺北市私立桔子蒙特梭利幼兒園,(02)27127575,26
22,大安區,臺北市私立經緯幼兒園,(02)25463743,31
23,大安區,有限責任臺北市立金華國民中學員生消費合作社附設臺北市私立員工子女幼兒園,(02)27199719,40
24,大安區,臺北市私立親親幼兒園,(02)27183809,27
25,大安區,臺北市私立大成幼兒園,(02)25472626,28
26,中山區,臺北市私立正光幼兒園,(02)27135473,38
27,中山區,有限責任臺北市立五常國民中學員生消費合作社附設臺北市私立員工子女幼兒園,(02)27180033,40
28,中山區,臺北市私立立興幼兒園,(02)27173888,240
29,中正區,臺北市私立寶貝幼兒園,(02)27123455,31
30,中正區,臺灣高等法院附設臺北市私立員工子女幼兒園,(02)27622872,60
31,中正區,臺北市私立乖乖幼兒園,(02)27612798,120
32,中正區,財團法人中華基督教衛理公會附設臺北市私立城中衛理幼兒園,(02)27662217,90
33,中正區,國防醫學院附設臺北市私立愛德幼兒園,(02)27479921,180
34,內湖區,臺北市私立明昶幼兒園,(02)27619160,25
35,內湖區,臺北市私立民祥幼兒園,(02)87717890#317,60
36,內湖區,臺北市私立陽光森林麗湖幼兒園,(02)27154555,21
37,內湖區,臺北市私立保進幼兒園,(02)27190521,160
38,內湖區,臺北市私立心惠幼兒園,(02)27121692,120
39,內湖區,臺北市私立融恩幼兒園,(02)87738855,22
40,內湖區,臺北市私立柏克萊幼兒園,(02)25700768,40
41,內湖區,臺北市私立文心幼兒園,(02)25784555,120
42,內湖區,臺北市私立東湖幼兒園,(02)25706450,60
43,內湖區,臺北市私立潭美幼兒園,(02)25775928,52
44,內湖區,臺北市私立柏克立幼兒園,(02)25787470,100
45,文山區,臺北市私立清華幼兒園,(02)25791370,39
46,文山區,臺北市私立家家幼兒園,(02)25791349,90
47,文山區,臺北市私立寶馨幼兒園,(02)25791350,17
48,文山區,臺北市私立吉太幼兒園,(02)25789177,60
49,文山區,臺北市私立千千幼兒園,(02)27314531,52
50,文山區,臺北市私立仁美幼兒園,(02)27208889#3430,90
51,文山區,臺北市私立惠生幼兒園,(02)23458112,90
52,文山區,臺北市私立三義幼兒園,(02)27224144,50
53,文山區,臺北市私立諾貝兒幼兒園,(02)27669977,22
54,文山區,臺北市私立子愛幼兒園,(02)27614112,20
55,文山區,臺北市私立宛的弗幼兒園,(02)27599391,22
56,文山區,臺北市私立快樂諾貝兒幼兒園,(02)27251155,40
57,文山區,臺北市私立滬江高級中學附設幼兒園,(02)27279422,212
58,北投區,臺北市私立新成功幼兒園,(02)27266099,90
59,北投區,臺北市私立正大幼兒園,(02)27652064#10,58
60,北投區,臺北市私立石牌旭東幼兒園,(02)2763-1261,53
61,北投區,臺北市私立卡蕾兒幼兒園,(02)27617760,21
62,北投區,臺北市私立藍天幼兒園,(02)27660046,32
63,北投區,臺北市私立聖德幼兒園,(02)2768-1159,174
64,北投區,臺北市私立一德幼兒園,(02)87852293,120
65,北投區,臺北市私立培爾幼兒園,(02)27480759,150
66,北投區,臺北市私立旭東幼兒園,(02)27679264#501,120
67,北投區,臺北市私立華民幼兒園,(02)27693636,99
68,北投區,臺北市私立北投青青幼兒園,(02)27592360,30
69,北投區,臺北市私立資優兒幼兒園,(02)23460084,30
70,北投區,臺北市私立潘蜜拉幼兒園,(02)27594855,90
71,北投區,臺北市私立樂家幼兒園,(02)27285918,29
72,松山區,財團法人福智文教基金會附設臺北市私立妙慧幼兒園,(02)27261705,40
73,松山區,財團法人福智文教基金會附設臺北市私立妙行幼兒園,(02)27279090,34
74,松山區,臺北市立敦化國民中學教師會附設臺北市私立員工子女幼兒園,(02)27295967,32
75,松山區,臺北市私立優寶幼兒園,(02)2720-2271,120
76,松山區,臺北市私立郁欣幼兒園,(02)27253008,60
77,松山區,臺北市私立育華幼兒園,(02)23454058,30
78,松山區,臺北市私立民族幼兒園,(02)27221062#11,60
79,松山區,臺北市私立多多優質幼兒園,(02)27233079,75
80,松山區,臺北市私立民權幼兒園,(02)27369666,83
81,松山區,臺北市私立天喜幼兒園,(02)87323560,70
82,信義區,臺北市私立微笑幼兒園,(02)27358636,35
83,信義區,臺北市私立清心幼兒園,(02)27014947,40
84,信義區,臺北市政府附設臺北市私立市政大樓員工子女幼兒園,(02)27014947,120
85,信義區,臺北市私立六三幼兒園,(02)27009515,90
86,信義區,臺北市私立寶兒寶幼兒園,(02)27042496,60
87,信義區,臺北市私立慧光幼兒園,(02)27093131,120
88,信義區,臺北市私立培諾米達信義幼兒園,(02)27038699,56
89,信義區,臺北市私立宗周幼兒園,(02)27000289#9,40
90,信義區,臺北市私立國泰幼兒園,(02)27548168,60
91,南港區,臺北市私立大方凌雲幼兒園,(02)27054343,62
92,南港區,臺北市私立樹德幼兒園,(02)27546816,90
93,南港區,臺北市私立惠群幼兒園,(02)87719739,16
94,南港區,臺北市私立大華幼兒園,(02)27726656,120
95,南港區,臺北市私立莒光幼兒園,(02)27114688,120
96,萬華區,北部台灣基督長老教會艋舺教會附設臺北市私立愛心幼兒園,(02)27529503#20,90
97,萬華區,臺北市私立博愛幼兒園,(02)27713679,120
98,萬華區,臺北市私立娃娃果幼兒園,(02)27718292,64
99,萬華區,臺北市私立育光幼兒園,(02)27790069,90
100,萬華區,臺北市私立德明幼兒園,(02)27711031,90
101,萬華區,臺北市私立英才幼兒園,(02)27315785,90
102,萬華區,臺北市私立大理幼兒園,(02)27761626,99
103,萬華區,臺北市私立慈愛幼兒園,(02)27401155,60
104,萬華區,臺北市私立聖保羅幼兒園,(02)27111077,35
105,萬華區,臺北市私立名人幼兒園,(02)87739963,29
106,萬華區,臺北市私立歡樂童年幼兒園,(02)27111787,27
107,萬華區,臺北市私立青年幼兒園,(02)23685253,26
,"","","",7390
