編號,鄉鎮,幼兒園名稱,幼兒園電話,幼兒園住址,核定總招收人數
1,松山區,臺北市私立三民幼兒園,(02)27651882,[105]臺北市松山區東榮里9鄰民生東路五段69巷2弄37.39.41號1樓,180
2,松山區,臺北市私立資幼幼兒園,(02)27674365,[105]臺北市松山區東榮里13鄰富錦街372號1樓,34
3,松山區,臺北市私立童欣幼兒園,(02)27662965,[105]臺北市松山區東榮里13鄰富錦街396號、398號1樓,60
4,松山區,臺北市私立哈寶寶幼兒園,(02)37653868,[105]臺北市松山區東榮里26鄰民生東路五段69巷2弄13號及15號1樓,40
5,松山區,臺北市私立天喜幼兒園,(02)27672567,[105]臺北市松山區新益里1鄰民權東路五段102號1、2樓、民權東路五段104巷2號1、2樓,70
6,松山區,臺北市私立民權幼兒園,(02)27131092,[105]臺北市松山區新益里5鄰富錦街562巷13號1樓,83
7,松山區,臺北市私立正欣幼兒園,(02)27639957,[105]臺北市松山區介壽里11鄰光復北路165巷5號、7號1樓,120
8,松山區,臺北市私立民族幼兒園,(02)27612638,[105]臺北市松山區介壽里3鄰新中街4巷6、8號1樓,60
9,松山區,臺北市私立正欣?蒙幼兒園,(02)27639957,[105]臺北市松山區介壽里11鄰光復北路165巷3號1樓,27
10,松山區,臺北市私立嘉勝幼兒園,(02)27648859,[105]臺北市松山區東光里22鄰三民路9-17、9-18、9-19、9-20號1樓,30
11,松山區,臺北市私立嘉維幼兒園,(02)27648859,[105]臺北市松山區東光里22鄰三民路9-21、9-22、9-23、9-24號1樓,32
12,松山區,財團法人臺北市私立立德幼兒園,(02)27670043,[105]臺北市松山區東光里26鄰南京東路5段123巷8弄47號1樓,210
13,松山區,臺北市私立友友幼兒園,(02)27568845,[105]臺北市松山區東光里11鄰南京東路五段23巷6弄9號及11號1樓,50
14,松山區,臺北市私立純青幼兒園,(02)27171217,[105]臺北市松山區龍田里36鄰光復北路190巷35號1樓,95
15,松山區,臺北市私立寶仁幼兒園,(02)27150971,[105]臺北市松山區龍田里32鄰光復北路230巷1號1樓,55
16,松山區,臺北市私立小親親幼兒園,(02)27131492,[105]臺北市松山區東昌里12鄰民生東路4段80巷15弄3號1樓,30
17,松山區,財團法人福智文教基金會附設臺北市私立妙慧幼兒園,(02)25451307,[105]臺北市松山區東勢里1鄰南京東路4段133巷5弄25號1至2樓,40
