NUMBER,DISTRICT,K_NAME,K_TEL,K_ADDR,E_NUMBER
1,松山區,臺北市松山區三民國民小學附設幼兒園,(02)27646080#511,[105]臺北市松山區莊敬里12鄰民權東路五段1號1樓,120
2,松山區,臺北市松山區民權國民小學附設幼兒園,(02)27652327#671,[105]臺北市松山區三民里32鄰民權東路四段200號1樓,212
3,松山區,臺北市松山區民族國民小學附設幼兒園,(02)27124872#710,[105]臺北市松山區精忠里4鄰民生東路四段97巷7號1樓,180
4,松山區,臺北市立松山幼兒園,(02)27181189,[105]臺北市松山區精忠里1鄰敦化北路199巷5號2樓,180
5,松山區,臺北市松山區西松國民小學附設幼兒園,(02)27609221#800,[105]臺北市松山區東光里22鄰三民路5號1樓及2樓,256
6,松山區,臺北市松山區松山國民小學附設幼兒園,(02)27614924,[105]臺北市松山區慈祐里20鄰八德路四段746號1樓,182
7,松山區,臺北市松山區健康國民小學附設幼兒園,(02)25282814#200,[105]臺北市松山區自強里3鄰延壽街168號1樓,90
8,松山區,臺北市松山區敦化國民小學附設幼兒園,(02)27513310,[105]臺北市松山區中正里10鄰敦化北路2號1樓,120
9,信義區,臺北市立信義幼兒園,(02)27297527,[110]臺北市信義區西村里18鄰基隆路一段364巷20、24號,240
10,信義區,臺北市信義區光復國民小學附設幼兒園,(02)27585076#877,[110]臺北市信義區興隆里9鄰光復南路271號,166
11,信義區,臺北市信義區博愛國民小學附設幼兒園,(02)23450616#633,[110]臺北市信義區安康里23鄰松仁路95巷20號,90
12,信義區,臺北市信義區興雅國民小學附設幼兒園,(02)27698786#10,[110]臺北市信義區雅祥里5鄰基隆路一段83巷9號,166
13,信義區,臺北市信義區永春國民小學附設幼兒園,(02)27641314#108,[110]臺北市信義區永春里22鄰松山路225巷48號,220
14,信義區,臺北市信義區永吉國民小學附設幼兒園,(02)87858111#125,[110]臺北市信義區永春里15鄰松山路287巷5號,136
15,信義區,臺北市信義區福德國民小學附設幼兒園,(02)27277992#61,[110]臺北市信義區中行里18鄰褔德街253號,136
16,信義區,臺北市信義區信義國民小學附設幼兒園,(02)27204005#871,[110]臺北市信義區景新里17鄰松勤街60號,180
17,信義區,臺北市信義區吳興國民小學附設幼兒園,(02)27200226#71,[110]臺北市信義區三張里1鄰松仁路226號,136
18,信義區,臺北市信義區三興國民小學附設幼兒園,(02)27368453#10,[110]臺北市信義區景聯里8鄰基隆路二段99號,166
19,大安區,臺北市大安區幸安國民小學附設幼兒園,(02)27074191#3600,[106]臺北市大安區民炤里15鄰仁愛路三段22號,196
20,大安區,臺北市大安區古亭國民小學附設幼兒園,(02)23639795#874,[106]臺北市大安區古風里5鄰羅斯福路三段201號,120
21,大安區,臺北市大安區新生國民小學附設幼兒園,(02)23913122#250,[106]臺北市大安區龍安里10鄰新生南路二段36號,120
22,大安區,臺北市大安區建安國民小學附設幼兒園,(02)27077119#170,[106]臺北市大安區龍雲里17鄰大安路二段99號,150
23,大安區,臺北市立大安幼兒園,(02)27551211,[106]臺北市大安區群英里32鄰四維路198巷31弄11號,210
24,大安區,臺北市和平實驗國民小學附設幼兒園,(02)27335900,[106]臺北市大安區臥龍里1鄰敦南街76巷28號,60
25,大安區,國立臺北教育大學附設實驗國民小學附設幼兒園,(02)27356186#184,[106]臺北市大安區龍淵里25鄰和平東路二段94號,120
26,大安區,臺北市大安區龍安國民小學附設幼兒園,(02)23628493#20,[106]臺北市大安區龍門里10鄰新生南路三段33號1樓至3樓,180
27,大安區,臺北市大安區大安國民小學附設幼兒園,(02)27322332#871,[106]臺北市大安區芳和里8鄰臥龍街129號1至2樓,226
