id,類型,鄉鎮,name,幼兒園電話,addr,核定總招收人數,收費金額
1,私立,文山區,臺北市私立滬江高級中學附設幼兒園,(02)86631122,臺北市文山區羅斯福路六段336號,212,126000
2,私立,南港區,中央研究院附設臺北市私立幼兒園,(02)27871451,臺北市南港區研究院路2段12巷75號1樓,120,45810
3,私立,南港區,世平興業股份有限公司附設臺北市私立員工子女幼兒園,(02)26530137,臺北市南港區成功路一段70、72、74號1樓,140,115800
4,準公共,萬華區,北部台灣基督長老教會艋舺教會附設臺北市私立愛心幼兒園,(02)23314921#11,臺北市萬華區貴陽街二段94號1樓,90,78300
5,準公共,中山區,有限責任臺北市立五常國民中學員生消費合作社附設臺北市私立員工子女幼兒園,(02)25048846,臺北市中山區復興北路430巷1號1樓,40,71280
6,準公共,大安區,有限責任臺北市立金華國民中學員生消費合作社附設臺北市私立員工子女幼兒園,(02)33931799#591,臺北市大安區新生南路二段32號1樓,40,71280
7,私立,文山區,私立再興高級中學附設臺北市幼兒園,(02)29366803#302,臺北市文山區木柵路二段6號,540,53752
8,私立,中正區,法務部附設臺北市私立員工子女幼兒園,(02)23713445,臺北市中正區重慶南路1段136巷2號1樓,70,79620
9,私立,大安區,社團法人台北市兒童托育協會附設臺北市私立安東幼兒園,(02)27067642,臺北市大安區瑞安街75號2樓,182,
10,非營利,文山區,社團法人台北市兒童托育協會附設臺北市私立實踐非營利幼兒園（臺北市政府委託辦理）,(02)29390246,臺北市文山區忠順街一段4號1樓,90,0
11,非營利,內湖區,社團法人臺北市幼托協會附設臺北市私立星雲非營利幼兒園（臺北市政府委託辦理）,(02)87918776,臺北市內湖區星雲街161巷3號2樓,85,0
12,私立,內湖區,恕德學校財團法人附設臺北市私立恕德幼兒園,(02)27997608,臺北市內湖區內湖路一段353號,120,118580
13,非營利,大安區,耕莘健康管理專科學校附設臺北市私立黃鸝鳥非營利幼兒園（臺北市政府委託辦理）,(02)23621071,臺北市大安區羅斯福路四段21號,76,0
14,非營利,中正區,耕莘健康管理專科學校附設臺北市私立螢橋非營利幼兒園(臺北市政府委託辦理),(02)23621061,臺北市中正區汀洲路三段4號,106,0
15,私立,大安區,財團法人中國文化大學附設臺北市私立文化幼兒園,(02)27085583,臺北市大安區瑞安街256巷18號及20號1樓,41,103000
16,私立,信義區,財團法人中華文化社會福利事業基金會台北兒童福利中心附設臺北市私立實驗幼兒園,(02)27679264#501,臺北市信義區虎林街120巷270號1樓,930,87240
17,私立,大安區,財團法人中華民國郵政職工福利委員會附設臺北市私立員工子女幼兒園,(02)23931261#3516,臺北市大安區愛國東路210巷9號2樓,111,54000
18,準公共,中正區,財團法人中華基督教衛理公會附設臺北市私立城中衛理幼兒園,(02)23952273,臺北市中正區寧波東街9巷6號1樓,90,71946
